input_length,model,rmse,mae,r2,direction
7d,Linear,0.0153,0.0090,-0.0161,0.4896
7d,DLinear,0.0153,0.0090,-0.0161,0.4877
7d,NLinear,0.0164,0.0099,-0.1627,0.5037
30d,Linear,0.0154,0.0090,-0.0249,0.5123
30d,DLinear,0.0154,0.0090,-0.0252,0.5112
30d,NLinear,0.0156,0.0092,-0.0472,0.4944
120d,Linear,0.0162,0.0098,-0.0735,0.5160
120d,DLinear,0.0162,0.0098,-0.0729,0.5171
120d,NLinear,0.0163,0.0099,-0.0867,0.5048
480d,Linear,0.0175,0.0109,-0.1670,0.5326
480d,DLinear,0.0175,0.0109,-0.1676,0.5326
480d,NLinear,0.0175,0.0108,-0.1640,0.5161
