"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"27/02/2026","65,500.0","66,900.0","67,200.0","65,500.0","7.08M","-2.24%"
"26/02/2026","67,000.0","66,800.0","67,300.0","65,600.0","8.14M","0.45%"
"25/02/2026","66,700.0","63,400.0","67,800.0","63,400.0","20.07M","5.21%"
"24/02/2026","63,400.0","63,200.0","64,200.0","63,000.0","7.97M","0.79%"
"23/02/2026","62,900.0","62,500.0","63,700.0","62,500.0","5.82M","0.48%"
"13/02/2026","62,600.0","61,200.0","62,600.0","61,100.0","9.00M","2.45%"
"12/02/2026","61,100.0","61,200.0","62,700.0","61,100.0","4.64M","0.00%"
"11/02/2026","61,100.0","59,300.0","62,900.0","59,300.0","8.44M","2.69%"
"10/02/2026","59,500.0","60,300.0","60,700.0","59,000.0","15.77M","-1.33%"
"09/02/2026","60,300.0","61,600.0","62,100.0","60,300.0","5.61M","-1.95%"
"06/02/2026","61,500.0","61,800.0","62,400.0","60,800.0","14.98M","-1.28%"
"05/02/2026","62,300.0","63,800.0","65,000.0","62,300.0","10.91M","-2.35%"
"04/02/2026","63,800.0","62,800.0","64,600.0","62,600.0","11.68M","1.27%"
"03/02/2026","63,000.0","64,000.0","64,500.0","62,700.0","10.15M","-0.79%"
"02/02/2026","63,500.0","63,000.0","64,000.0","62,000.0","12.22M","0.79%"
"30/01/2026","63,000.0","62,800.0","65,000.0","62,700.0","9.37M","0.32%"
"29/01/2026","62,800.0","64,000.0","64,400.0","62,600.0","7.05M","-0.63%"
"28/01/2026","63,200.0","62,000.0","65,600.0","61,900.0","12.81M","2.10%"
"27/01/2026","61,900.0","62,000.0","63,300.0","61,000.0","12.50M","-0.16%"
"26/01/2026","62,000.0","63,000.0","63,800.0","61,600.0","14.88M","-0.96%"
"23/01/2026","62,600.0","63,200.0","66,100.0","62,600.0","16.45M","-1.42%"
"22/01/2026","63,500.0","63,000.0","66,400.0","63,000.0","17.21M","2.25%"
"21/01/2026","62,100.0","57,600.0","62,100.0","57,200.0","25.97M","6.88%"
"20/01/2026","58,100.0","58,200.0","60,900.0","58,100.0","16.11M","-0.34%"
"19/01/2026","58,300.0","58,000.0","58,700.0","57,600.0","8.94M","-0.17%"
"16/01/2026","58,400.0","59,400.0","60,600.0","57,900.0","18.24M","1.04%"
"15/01/2026","57,800.0","53,800.0","57,800.0","53,700.0","23.20M","6.84%"
"14/01/2026","54,100.0","53,900.0","55,100.0","53,800.0","14.86M","0.00%"
"13/01/2026","54,100.0","53,800.0","55,200.0","53,700.0","18.23M","0.56%"
"12/01/2026","53,800.0","51,500.0","54,300.0","51,100.0","21.18M","3.86%"
"09/01/2026","51,800.0","53,600.0","54,300.0","51,500.0","21.55M","-3.18%"
"08/01/2026","53,500.0","53,700.0","55,200.0","53,100.0","16.49M","0.19%"
"07/01/2026","53,400.0","55,600.0","55,900.0","52,800.0","53.94M","-5.82%"
"06/01/2026","56,700.0","57,500.0","58,700.0","56,700.0","12.71M","-2.07%"
