sample_id,timestep,feature,shap_value
0,0,close_log,0.0
0,0,return_1d,0.0031222663819789886
0,0,KAMA_10,0.0
0,0,SMA_20,0.0
0,0,HCL3,0.0
0,0,EMA_20,0.0
0,0,HMA_20,0.0
0,0,ATR_14,0.0
0,0,BBL_20,0.0
0,0,OBV,0.0
0,0,PVT,0.0
0,1,close_log,0.0
0,1,return_1d,0.002641382860019803
0,1,KAMA_10,0.0
0,1,SMA_20,0.0
0,1,HCL3,0.0
0,1,EMA_20,0.0
0,1,HMA_20,0.0
0,1,ATR_14,0.0
0,1,BBL_20,0.0
0,1,OBV,0.0
0,1,PVT,0.0
0,2,close_log,0.0
0,2,return_1d,0.008407366462051868
0,2,KAMA_10,0.0
0,2,SMA_20,0.0
0,2,HCL3,0.0
0,2,EMA_20,0.0
0,2,HMA_20,0.0
0,2,ATR_14,0.0
0,2,BBL_20,0.0
0,2,OBV,0.0
0,2,PVT,0.0
0,3,close_log,0.0
0,3,return_1d,0.0005923673161305487
0,3,KAMA_10,0.0
0,3,SMA_20,0.0
0,3,HCL3,0.0
0,3,EMA_20,0.0
0,3,HMA_20,0.0
0,3,ATR_14,0.0
0,3,BBL_20,0.0
0,3,OBV,0.0
0,3,PVT,0.0
0,4,close_log,0.0
0,4,return_1d,0.0017424017423763871
0,4,KAMA_10,0.0
0,4,SMA_20,0.0
0,4,HCL3,0.0
0,4,EMA_20,0.0
0,4,HMA_20,0.0
0,4,ATR_14,0.0
0,4,BBL_20,0.0
0,4,OBV,0.0
0,4,PVT,0.0
0,5,close_log,0.0
0,5,return_1d,0.0016698227263987064
0,5,KAMA_10,0.0
0,5,SMA_20,0.0
0,5,HCL3,0.0
0,5,EMA_20,0.0
0,5,HMA_20,0.0
0,5,ATR_14,0.0
0,5,BBL_20,0.0
0,5,OBV,0.0
0,5,PVT,0.0
0,6,close_log,0.0
0,6,return_1d,9.689287253422663e-05
0,6,KAMA_10,0.0
0,6,SMA_20,0.0
0,6,HCL3,0.0
0,6,EMA_20,0.0
0,6,HMA_20,0.0
