sample_id,timestep,feature,shap_value
0,0,close_log,0.0
0,0,return_1d,0.005476666614413261
0,0,KAMA_10,0.0
0,0,SMA_20,0.0
0,0,HCL3,0.0
0,0,EMA_20,0.0
0,0,HMA_20,0.0
0,0,ATR_14,0.0
0,0,BBL_20,0.0
0,0,OBV,0.0
0,0,PVT,0.0
0,1,close_log,0.0
0,1,return_1d,-0.0005554425879381597
0,1,KAMA_10,0.0
0,1,SMA_20,0.0
0,1,HCL3,0.0
0,1,EMA_20,0.0
0,1,HMA_20,0.0
0,1,ATR_14,0.0
0,1,BBL_20,0.0
0,1,OBV,0.0
0,1,PVT,0.0
0,2,close_log,0.0
0,2,return_1d,-0.005215087439864874
0,2,KAMA_10,0.0
0,2,SMA_20,0.0
0,2,HCL3,0.0
0,2,EMA_20,0.0
0,2,HMA_20,0.0
0,2,ATR_14,0.0
0,2,BBL_20,0.0
0,2,OBV,0.0
0,2,PVT,0.0
0,3,close_log,0.0
0,3,return_1d,-0.00412955554202199
0,3,KAMA_10,0.0
0,3,SMA_20,0.0
0,3,HCL3,0.0
0,3,EMA_20,0.0
0,3,HMA_20,0.0
0,3,ATR_14,0.0
0,3,BBL_20,0.0
0,3,OBV,0.0
0,3,PVT,0.0
0,4,close_log,0.0
0,4,return_1d,-0.006875829305499792
0,4,KAMA_10,0.0
0,4,SMA_20,0.0
0,4,HCL3,0.0
0,4,EMA_20,0.0
0,4,HMA_20,0.0
0,4,ATR_14,0.0
0,4,BBL_20,0.0
0,4,OBV,0.0
0,4,PVT,0.0
0,5,close_log,0.0
0,5,return_1d,-0.006127072963863611
0,5,KAMA_10,0.0
0,5,SMA_20,0.0
0,5,HCL3,0.0
0,5,EMA_20,0.0
0,5,HMA_20,0.0
0,5,ATR_14,0.0
0,5,BBL_20,0.0
0,5,OBV,0.0
0,5,PVT,0.0
0,6,close_log,0.0
0,6,return_1d,0.0018458290724083781
0,6,KAMA_10,0.0
0,6,SMA_20,0.0
0,6,HCL3,0.0
0,6,EMA_20,0.0
0,6,HMA_20,0.0
0,6,ATR_14,0.0
0,6,BBL_20,0.0
0,6,OBV,0.0
0,6,PVT,0.0
1,0,close_log,0.0
1,0,return_1d,-0.00409686891362071
1,0,KAMA_10,0.0
1,0,SMA_20,0.0
1,0,HCL3,0.0
1,0,EMA_20,0.0
1,0,HMA_20,0.0
1,0,ATR_14,0.0
1,0,BBL_20,0.0
